video_path,feature_path
/dataset/youtube/videos/files/test/non-food/208101_2022.mp4,/dataset/youtube/videos/features/test/non-food/208101_2022
/dataset/youtube/videos/files/test/non-food/216092_2022.mp4,/dataset/youtube/videos/features/test/non-food/216092_2022
/dataset/youtube/videos/files/test/non-food/216043_2024.mp4,/dataset/youtube/videos/features/test/non-food/216043_2024
/dataset/youtube/videos/files/test/non-food/222084_2024.mp4,/dataset/youtube/videos/features/test/non-food/222084_2024
/dataset/youtube/videos/files/test/non-food/219075_2024.mp4,/dataset/youtube/videos/features/test/non-food/219075_2024
/dataset/youtube/videos/files/test/non-food/206116_2023.mp4,/dataset/youtube/videos/features/test/non-food/206116_2023
/dataset/youtube/videos/files/test/non-food/210087_2023.mp4,/dataset/youtube/videos/features/test/non-food/210087_2023
/dataset/youtube/videos/files/test/non-food/210108_2023.mp4,/dataset/youtube/videos/features/test/non-food/210108_2023
/dataset/youtube/videos/files/test/non-food/207109_2023.mp4,/dataset/youtube/videos/features/test/non-food/207109_2023
/dataset/youtube/videos/files/test/non-food/2141010_2023.mp4,/dataset/youtube/videos/features/test/non-food/2141010_2023
/dataset/youtube/videos/files/test/non-food/2280511_2024.mp4,/dataset/youtube/videos/features/test/non-food/2280511_2024
/dataset/youtube/videos/files/test/non-food/2121012_2023.mp4,/dataset/youtube/videos/features/test/non-food/2121012_2023
/dataset/youtube/videos/files/test/non-food/2100513_2024.mp4,/dataset/youtube/videos/features/test/non-food/2100513_2024
/dataset/youtube/videos/files/test/non-food/2061214_2023.mp4,/dataset/youtube/videos/features/test/non-food/2061214_2023
/dataset/youtube/videos/files/test/non-food/2261015_2023.mp4,/dataset/youtube/videos/features/test/non-food/2261015_2023
/dataset/youtube/videos/files/test/non-food/2051116_2023.mp4,/dataset/youtube/videos/features/test/non-food/2051116_2023
/dataset/youtube/videos/files/test/non-food/2111017_2023.mp4,/dataset/youtube/videos/features/test/non-food/2111017_2023
/dataset/youtube/videos/files/test/non-food/2071118_2023.mp4,/dataset/youtube/videos/features/test/non-food/2071118_2023
